,0
0,N
1,Y
2,['Y' 'N' nan]
3,['Y' 'N' nan]
4,Y
5,N
6,N
7,Y
8,N
9,Y
10,N
11,Y
12,N
13,Y
14,N
15,Y
16,N
17,Y
18,N
19,Y
20,N
21,Y
22,N
23,Y
24,N
25,Y
26,
