,0
0,no corridor
1,unheated corridor
2,heated corridor
3,no corridor
4,unheated corridor
5,heated corridor
6,no corridor
7,unheated corridor
8,heated corridor
9,no corridor
10,unheated corridor
11,heated corridor
12,no corridor
13,unheated corridor
14,heated corridor
15,no corridor
16,unheated corridor
17,heated corridor
18,no corridor
19,unheated corridor
20,heated corridor
21,
22,
23,
