,0
0,Greater London Authority
1,North Yorkshire
2,Derbyshire
3,Worcestershire
4,Nottinghamshire
5,Staffordshire
6,Somerset
7,Hampshire
8,Oxfordshire
9,Suffolk
10,West Sussex
11,Dorset
12,Buckinghamshire
13,Devon
14,Gloucestershire
15,Hertfordshire
16,East Sussex
17,Cambridgeshire
18,Cumbria
19,Essex
20,Kent
21,Lancashire
22,Leicestershire
23,Lincolnshire
24,Norfolk
25,Northamptonshire
26,Surrey
27,Warwickshire
