,0
148,Average thermal transmittance 0.16 W/mA?K
149,Average thermal transmittance 0.10 W/m?K
150,Average thermal transmittance 0.50 W/m&#0178;K
151,Average thermal transmittance 0.38 W/m²K
152,Average thermal transmittance 0.47 W/m²K
153,Average thermal transmittance 0.00 W/m?K
154,Average thermal transmittance = 0.12 W/m?K
155,Average thermal transmittance 0.33 W/m&#0178;K
156,Average thermal transmittance 0.45 W/m?K
157,Average thermal transmittance 0.12 W/m&#0178;K
158,Average thermal transmittance = 0.18 W/m?K
159,Average thermal transmittance 0.37 W/m&#0178;K
160,Average thermal transmittance 0.34 W/m&#0178;K
161,Average thermal transmittance 0.63 W/m&#0178;K
162,Average thermal transmittance 0.35 W/m?K
163,Average thermal transmittance 0.44 W/m?K
164,Average thermal transmittance 0.48 W/m?K
165,Average thermal transmittance 0.11 W/m&#0178;K
166,Average thermal transmittance 0.33 W/m?K
167,Average thermal transmittance 0.61 W/m-¦K
168,Average thermal transmittance 0.40 W/m²K
169,Average thermal transmittance 0.25 W/m??K
170,Average thermal transmittance 0.32 W/m?K
171,Average thermal transmittance 0.26 W/m²K
172,Average thermal transmittance 0.18 W/mA?K
173,Average thermal transmittance 0.27 W/m-¦K
174,Average thermal transmittance 0.36 W/m²K
175,Average thermal transmittance 0.47 W/m-¦K
176,Average thermal transmittance 0.1 W/m²K
177,Average thermal transmittance 0.12 W/m??K|Trawsyriannedd thermol cyfartalog 0.12 W/m??K
178,Average thermal transmittance 0.12 W/mA?K
179,Average thermal transmittance 0.2 W/m²K
180,Average thermal transmittance 0.24 W/m-¦K
181,Average thermal transmittance 0.17 W/m2K
182,(other premises below)|(eiddo arall islaw)
183,Average thermal transmittance 0.79 W/m?K
184,
185,Average thermal transmittance 0.33 W/m-¦K
186,", no insulation (assumed)"
187,Average thermal transmittance 0.37 W/m?K
188,Average thermal transmittance 0.14 W/m??K
189,Average thermal transmittance 0.07 W/m²K
190,Average thermal transmittance 0.14 W/m&#0178;K
191,Average thermal transmittance 0.16 W/m&#0178;K
192,Average thermal transmittance 0.36 W/m&#0178;K
193,Average thermal transmittance 0.18 W/m??K
194,Average thermal transmittance 0.15 W/m2K
195,Average thermal transmittance = 0.29 W/m?K
196,Average thermal transmittance 0.48 W/m&#0178;K
197,Average thermal transmittance 0.74 W/m²K
198,Average thermal transmittance 0.92 W/m²K
199,Average thermal transmittance = 0.25 W/m?K
200,Average thermal transmittance 0.01 W/m?K
201,Average thermal transmittance 0.53 W/m&#0178;K
202,Average thermal transmittance = 0.22 W/m?K
203,insulated (assumed)
204,Average thermal transmittance 0.25 W/m&#0178;K
205,Average thermal transmittance 0.22 W/m2K
206,Average thermal transmittance 0.25 W/m2K
207,Average thermal transmittance 0.22 W/m&#0178;K
208,Average thermal transmittance 0.24 W/m&#0178;K
209,Average thermal transmittance 0.13 W/m&#0178;K
210,Average thermal transmittance 0.29 W/m²K
211,Average thermal transmittance 0.43 W/m?K
212,Average thermal transmittance 0.30 W/m&#0178;K
213,Average thermal transmittance = 0.14 W/m?K
214,Average thermal transmittance 0.21 W/m??K|Trawsyriannedd thermol cyfartalog 0.21 W/m??K
215,Average thermal transmittance 0.31 W/m&#0178;K
216,Average thermal transmittance 0.42 W/m?K
217,Average thermal transmittance 0.51 W/m?K
218,Average thermal transmittance 0.20 W/m2K
219,Average thermal transmittance 0.34 W/m-¦K
220,Average thermal transmittance 0.83 W/m-¦K
221,Average thermal transmittance 0.12 W/m??K
222,Average thermal transmittance 0.23 W/m&#0178;K
223,Average thermal transmittance = 0.28 W/m?K
