,0
170,SAP05:Main-Heating-Controls
171,No thermostatic control of room temperature
172,TRVs and bypass
173,"Charging system linked to use of community heating, room thermostat only"
174,"Unit charging, programmer and TRVs"
175,Programmer and at least 2 room thermostats
176,"Flat rate charging, programmer and TRVs"
177,"Flat rate charging, programmer and room thermostat"
178,Not relevant (supplies DHW only)
179,"Programmer, TRVs and flow switch"
180,"Charging system linked to use of community heating, TRVs"
181,"Charging system linked to use of community heating, programmer and room thermostat"
182,Programmer and room thermostats
183,Programmer and at least two room thermostats including a delayed start thermostat
184,"Charging system linked to the use of community heating, prog and TRVs"
185,"Charging system linked to use of community heating, programmer and at least two room thermostats"
186,Celect-type controls
187,Room thermostats only
188,Controls for high heat retention storage heaters
189,"Flat rate charging, programmer and at least two room thermostats"
190,No time or thermostatic control of room temp
191,"Charging system linked to the use of community heating, programmer and TRVs"
192,"Programmer, room thermostat and TRVs"
193,Programmer and room thermostat
194,"Programmer, no room thermostat"
195,Time and temperature zone control
196,No time or thermostatic control of room temperature
197,Manual charge control
198,None
199,Appliance thermostats
200,"Flat rate charging, TRVs"
201,"Flat rate charging, no stat control of room temperature"
202,Programmer and appliance thermostats
203,"Flat rate charging, no thermostatic control of room temperature"
204,"Charging system linked to use of community heating, programmer and TRVs"
205,"Programmer, TRVs and boiler energy manager"
206,"Flat rate charging, programmer, no room thermostat"
207,"Programmer, TRVs and bypass"
208,Automatic charge control
209,Programmer and at least two room thermostats
210,Room thermostat only
211,"Flat rate charging, room thermostat only"
212,"Flat rate charging, programmer no room thermostat"
213,SAP05:Main-Heating-Controls
214,No thermostatic control of room temperature
215,TRVs and bypass
216,"Charging system linked to use of community heating, room thermostat only"
217,"Unit charging, programmer and TRVs"
218,Programmer and at least 2 room thermostats
219,"Flat rate charging, programmer and TRVs"
220,"Flat rate charging, programmer and room thermostat"
221,Not relevant (supplies DHW only)
222,"Programmer, TRVs and flow switch"
223,"Charging system linked to use of community heating, TRVs"
224,"Charging system linked to use of community heating, programmer and room thermostat"
225,Programmer and room thermostats
226,Programmer and at least two room thermostats including a delayed start thermostat
227,"Charging system linked to the use of community heating, prog and TRVs"
228,"Charging system linked to use of community heating, programmer and at least two room thermostats"
229,Celect-type controls
230,Room thermostats only
231,Controls for high heat retention storage heaters
232,"Flat rate charging, programmer and at least two room thermostats"
233,No time or thermostatic control of room temp
234,"Charging system linked to the use of community heating, programmer and TRVs"
235,"Programmer, room thermostat and TRVs"
236,Programmer and room thermostat
237,"Programmer, no room thermostat"
238,Time and temperature zone control
239,No time or thermostatic control of room temperature
240,Manual charge control
241,None
242,Appliance thermostats
243,"Flat rate charging, TRVs"
244,"Flat rate charging, no stat control of room temperature"
245,Programmer and appliance thermostats
246,"Flat rate charging, no thermostatic control of room temperature"
247,"Charging system linked to use of community heating, programmer and TRVs"
248,"Programmer, TRVs and boiler energy manager"
249,"Flat rate charging, programmer, no room thermostat"
250,"Programmer, TRVs and bypass"
251,Automatic charge control
252,Programmer and at least two room thermostats
253,Room thermostat only
254,"Flat rate charging, room thermostat only"
255,"Flat rate charging, programmer no room thermostat"
256,SAP05:Main-Heating-Controls
257,No thermostatic control of room temperature
258,TRVs and bypass
259,"Charging system linked to use of community heating, room thermostat only"
260,"Unit charging, programmer and TRVs"
261,Programmer and at least 2 room thermostats
262,"Flat rate charging, programmer and TRVs"
263,"Flat rate charging, programmer and room thermostat"
264,Not relevant (supplies DHW only)
265,"Programmer, TRVs and flow switch"
266,"Charging system linked to use of community heating, TRVs"
267,"Charging system linked to use of community heating, programmer and room thermostat"
268,Programmer and room thermostats
269,Programmer and at least two room thermostats including a delayed start thermostat
270,"Charging system linked to the use of community heating, prog and TRVs"
271,"Charging system linked to use of community heating, programmer and at least two room thermostats"
272,Celect-type controls
273,Room thermostats only
274,Controls for high heat retention storage heaters
275,"Flat rate charging, programmer and at least two room thermostats"
276,No time or thermostatic control of room temp
277,"Charging system linked to the use of community heating, programmer and TRVs"
278,"Programmer, room thermostat and TRVs"
279,Programmer and room thermostat
280,"Programmer, no room thermostat"
281,Time and temperature zone control
282,No time or thermostatic control of room temperature
283,Manual charge control
284,None
285,Appliance thermostats
286,"Flat rate charging, TRVs"
287,"Flat rate charging, no stat control of room temperature"
288,Programmer and appliance thermostats
289,"Flat rate charging, no thermostatic control of room temperature"
290,"Charging system linked to use of community heating, programmer and TRVs"
291,"Programmer, TRVs and boiler energy manager"
292,"Flat rate charging, programmer, no room thermostat"
293,"Programmer, TRVs and bypass"
294,Automatic charge control
295,Programmer and at least two room thermostats
296,Room thermostat only
297,"Flat rate charging, room thermostat only"
298,"Flat rate charging, programmer no room thermostat"
299,SAP05:Main-Heating-Controls
300,No thermostatic control of room temperature
301,TRVs and bypass
302,"Charging system linked to use of community heating, room thermostat only"
303,"Unit charging, programmer and TRVs"
304,Programmer and at least 2 room thermostats
305,"Flat rate charging, programmer and TRVs"
306,"Flat rate charging, programmer and room thermostat"
307,Not relevant (supplies DHW only)
308,"Programmer, TRVs and flow switch"
309,"Charging system linked to use of community heating, TRVs"
310,"Charging system linked to use of community heating, programmer and room thermostat"
311,Programmer and room thermostats
312,Programmer and at least two room thermostats including a delayed start thermostat
313,"Charging system linked to the use of community heating, prog and TRVs"
314,"Charging system linked to use of community heating, programmer and at least two room thermostats"
315,Celect-type controls
316,Room thermostats only
317,Controls for high heat retention storage heaters
318,"Flat rate charging, programmer and at least two room thermostats"
319,No time or thermostatic control of room temp
